committeeID,legislatorID,rank
HLIG,N000181,1
HLIG,C001062,2
HLIG,K000210,3
HLIG,L000554,4
HLIG,R000583,5
HLIG,R000435,6
HLIG,T000463,7
HLIG,W000815,8
HLIG,S001192,9
HLIG,C001087,10
HLIG,G000566,11
HLIG,S001196,12
HLIG,H001073,13
HLIG,S001150,1
HLIG,H001047,2
HLIG,S001185,3
HLIG,C001072,4
HLIG,S001175,5
HLIG,Q000023,6
HLIG,S001193,7
HLIG,C001091,8
HLIG,H001064,9
HSAG,C001062,1
HSAG,G000289,2
HSAG,L000491,3
HSAG,K000362,4
HSAG,R000575,5
HSAG,T000467,6
HSAG,G000563,7
HSAG,S001189,8
HSAG,C001087,9
HSAG,D000616,10
HSAG,H001053,11
HSAG,D000612,12
HSAG,L000578,13
HSAG,D000619,14
HSAG,Y000065,15
HSAG,A000372,16
HSAG,B001295,17
HSAG,R000603,18
HSAG,A000374,19
HSAG,K000388,20
HSAG,C001108,21
HSAG,M001198,22
HSAG,B001298,23
HSAG,F000464,24
HSAG,D000628,25
HSAG,A000375,26
HSAG,P000258,1
HSAG,S001157,2
HSAG,C001059,3
HSAG,W000799,4
HSAG,F000455,5
HSAG,M000312,6
HSAG,V000132,7
HSAG,L000580,8
HSAG,K000382,9
HSAG,N000127,10
HSAG,B001286,11
HSAG,M001185,12
HSAG,P000610,13
HSAG,A000370,14
HSAG,E000296,15
HSAG,L000586,16
HSAG,O000171,17
HSAG,P000613,18
HSAG,S001200,19
HSAG,B001303,20
HSAP,F000372,1
HSAP,R000395,2
HSAP,A000055,3
HSAP,G000377,4
HSAP,S001148,5
HSAP,C001048,6
HSAP,C001051,7
HSAP,C000059,8
HSAP,C001053,9
HSAP,D000600,10
HSAP,D000604,11
HSAP,G000560,12
HSAP,Y000063,13
HSAP,W000809,14
HSAP,F000449,15
HSAP,R000583,16
HSAP,F000459,17
HSAP,H001056,18
HSAP,J000295,19
HSAP,V000129,20
HSAP,H001052,21
HSAP,R000591,22
HSAP,A000369,23
HSAP,S001192,24
HSAP,Y000066,25
HSAP,J000297,26
HSAP,P000601,27
HSAP,N000189,28
HSAP,M001194,29
HSAP,T000477,30
HSAP,L000480,1
HSAP,K000009,2
HSAP,V000108,3
HSAP,S000248,4
HSAP,D000216,5
HSAP,P000523,6
HSAP,R000486,7
HSAP,B000490,8
HSAP,L000551,9
HSAP,M001143,10
HSAP,R000577,11
HSAP,R000576,12
HSAP,W000797,13
HSAP,C001063,14
HSAP,P000597,15
HSAP,Q000023,16
HSAP,K000381,17
